team,n_win,n_loss,yusag_coeff,seed,conference,finals,champ,loc_type
LSU,12,6,12.72407162935984,2,SEC,0.45300000000000035,0.21800000000000017,N
Auburn,12,6,12.704989079513664,3,SEC,0.35300000000000026,0.18000000000000013,N
Florida,11,7,13.433661507669056,4,SEC,0.3140000000000002,0.17900000000000013,N
Mississippi St.,11,7,10.832408503310942,5,SEC,0.17400000000000013,0.07900000000000006,N
South Carolina,10,8,8.99908094885515,6,SEC,0.1510000000000001,0.06400000000000004,N
Texas A&M,10,8,3.8293927020809058,7,SEC,0.04300000000000003,0.011000000000000003,N
Tennessee,9,9,9.115300293790705,8,SEC,0.12500000000000008,0.04900000000000004,N
Prairie View,14,4,-4.25167664296657,1,SWAC,0.5770000000000004,0.36600000000000027,N
Southern U.,13,5,-5.430670115501561,2,SWAC,0.5410000000000004,0.2710000000000002,N
Texas Southern,12,6,-8.475966627081469,3,SWAC,0.24000000000000019,0.08900000000000007,N
Jackson St.,11,7,-8.0836120428897,4,SWAC,0.2420000000000002,0.12500000000000008,N
Grambling,11,7,-9.374812791246605,5,SWAC,0.1550000000000001,0.07000000000000005,N
Alcorn,11,7,-11.43193156852894,6,SWAC,0.1420000000000001,0.04900000000000004,N
Alabama St.,7,11,-13.568486455052861,7,SWAC,0.07700000000000005,0.02100000000000001,N
Alabama A&M,5,13,-16.2069144136358,8,SWAC,0.026000000000000016,0.009000000000000001,N
Vermont,14,2,7.823610438184646,1,Am. East,0.8680000000000007,0.7460000000000006,N
Stony Brook,10,6,-0.8039474688115558,2,Am. East,0.5080000000000003,0.1410000000000001,N
Hartford,9,7,-5.952655805628574,3,Am. East,0.19800000000000015,0.025000000000000015,N
New Hampshire,8,8,-5.483625813407357,4,Am. East,0.07400000000000005,0.03100000000000002,N
UMBC,8,8,-6.9359955302184915,5,Am. East,0.04500000000000003,0.02100000000000001,N
UMass Lowell,7,9,-6.894401248461909,6,Am. East,0.17200000000000013,0.02000000000000001,N
Albany (NY),7,9,-7.551405621785845,7,Am. East,0.1220000000000001,0.016000000000000007,N
Maine,5,11,-10.596858987151261,8,Am. East,0.013000000000000005,0,N
Colgate,14,4,2.9732714134449836,1,Patriot,0.6610000000000005,0.44500000000000034,N
Boston U.,12,6,0.06571012692257483,2,Patriot,0.4850000000000004,0.2430000000000002,N
American,12,6,-2.026627983343272,3,Patriot,0.3110000000000002,0.1340000000000001,N
Lafayette,10,8,-3.928568300877501,4,Patriot,0.18500000000000014,0.08300000000000006,N
Army West Point,10,8,-6.82501009484449,5,Patriot,0.08200000000000006,0.013000000000000005,N
Navy,8,10,-6.1776848983397095,6,Patriot,0.10200000000000008,0.027000000000000017,N
Bucknell,8,10,-6.270287018177342,7,Patriot,0.10200000000000008,0.03300000000000002,N
Loyola Maryland,7,11,-7.578707802322742,8,Patriot,0.07200000000000005,0.022000000000000013,N
Little Rock,15,5,2.860434382106325,1,Sunbelt,0.32400000000000023,0.17200000000000013,N
Texas St.,13,7,5.324100881852591,2,Sunbelt,0.4210000000000003,0.2460000000000002,N
South Alabama,13,7,0.5131942268465135,3,Sunbelt,0.16000000000000011,0.058000000000000045,N
Georgia St.,12,8,4.119874191792766,4,Sunbelt,0.3700000000000003,0.21300000000000016,N
Ga. Southern,12,8,2.098081533037485,5,Sunbelt,0.20300000000000015,0.09600000000000007,N
Appalachian St.,11,9,-0.29860290771694586,6,Sunbelt,0.16700000000000012,0.05600000000000004,N
UT Arlington,10,10,2.891534112769243,7,Sunbelt,0.25200000000000017,0.12000000000000009,N
Coastal Carolina,8,12,-1.2653322814239374,8,Sunbelt,0.10300000000000008,0.03900000000000003,N
Oregon,13,5,15.720447641200826,1,Pac 12,0.4190000000000003,0.2870000000000002,N
UCLA,12,6,8.032254416970394,2,Pac 12,0.12500000000000008,0.027000000000000017,N
Southern California,11,7,9.87816910959254,3,Pac 12,0.16300000000000012,0.05400000000000004,N
Arizona St.,11,7,9.385491070910719,4,Pac 12,0.06500000000000004,0.03300000000000002,N
Arizona,10,8,16.60353854685554,5,Pac 12,0.46700000000000036,0.33000000000000024,N
Colorado,10,8,13.576895395869192,6,Pac 12,0.3870000000000003,0.1440000000000001,N
Stanford,9,9,11.68212606119131,7,Pac 12,0.32500000000000023,0.10700000000000008,N
Oregon St.,7,11,7.688641504785201,8,Pac 12,0.04900000000000004,0.01800000000000001,N
Belmont,17,3,5.1393257190232955,1,OVC,0.7860000000000006,0.5130000000000003,N
Murray St.,16,4,2.813734136767181,2,OVC,0.5420000000000004,0.2700000000000002,N
Austin Peay,15,5,0.12388973349362509,3,OVC,0.34700000000000025,0.1440000000000001,N
Eastern Ky.,13,7,-7.629255416776592,4,OVC,0.05000000000000004,0.012000000000000004,N
Eastern Ill.,10,10,-4.221550390747271,5,OVC,0.1390000000000001,0.03100000000000002,N
Tennessee St.,10,10,-6.275185342866716,6,OVC,0.05400000000000004,0.012000000000000004,N
Jacksonville St.,8,11,-7.230107773868443,7,OVC,0.057000000000000044,0.013000000000000005,N
Morehead St.,7,12,-10.182733339406424,8,OVC,0.025000000000000015,0.005,N
Kansas,17,1,22.913608355311283,1,Big 12,0.7420000000000005,0.5400000000000004,N
Baylor,15,3,18.48817696641398,2,Big 12,0.4840000000000004,0.19100000000000014,N
